"","Year","Geography","Age at time of death","Sex","Leading causes of death (ICD-10)","Value"
"37","2015","data.Canada","data.1 to 14 years","data.Both sexes","data.Chronic lower respiratory diseases",0.1
"38","2015","data.Canada","data.1 to 14 years","data.Both sexes","data.Chronic liver disease and cirrhosis",0
"39","2015","data.Canada","data.1 to 14 years","data.Both sexes","data.Accidents (unintentional injuries)",2.9
"40","2015","data.Canada","data.1 to 14 years","data.Both sexes","data.Intentional self-harm (suicide)",0.7
"41","2015","data.Canada","data.1 to 14 years","data.Males","data.Malignant neoplasms",2.5
"42","2015","data.Canada","data.1 to 14 years","data.Males","data.Diabetes mellitus",0
"43","2015","data.Canada","data.1 to 14 years","data.Males","data.Alzheimer's disease",0
"44","2015","data.Canada","data.1 to 14 years","data.Males","data.Diseases of heart",0.3
"45","2015","data.Canada","data.1 to 14 years","data.Males","data.Cerebrovascular diseases",0.2
"46","2015","data.Canada","data.1 to 14 years","data.Males","data.Influenza and pneumonia",0.4
"47","2015","data.Canada","data.1 to 14 years","data.Males","data.Chronic lower respiratory diseases",0.1
"48","2015","data.Canada","data.1 to 14 years","data.Males","data.Chronic liver disease and cirrhosis",0
"49","2015","data.Canada","data.1 to 14 years","data.Males","data.Accidents (unintentional injuries)",3.5
"50","2015","data.Canada","data.1 to 14 years","data.Males","data.Intentional self-harm (suicide)",0.5
"51","2015","data.Canada","data.1 to 14 years","data.Females","data.Malignant neoplasms",2.4
"52","2015","data.Canada","data.1 to 14 years","data.Females","data.Diabetes mellitus",0
"53","2015","data.Canada","data.1 to 14 years","data.Females","data.Alzheimer's disease",0
"54","2015","data.Canada","data.1 to 14 years","data.Females","data.Diseases of heart",0.2
"55","2015","data.Canada","data.1 to 14 years","data.Females","data.Cerebrovascular diseases",0.2
"56","2015","data.Canada","data.1 to 14 years","data.Females","data.Influenza and pneumonia",0.3
"57","2015","data.Canada","data.1 to 14 years","data.Females","data.Chronic lower respiratory diseases",0.2
"58","2015","data.Canada","data.1 to 14 years","data.Females","data.Chronic liver disease and cirrhosis",0
"59","2015","data.Canada","data.1 to 14 years","data.Females","data.Accidents (unintentional injuries)",2.3
"60","2015","data.Canada","data.1 to 14 years","data.Females","data.Intentional self-harm (suicide)",0.8
"61","2015","data.Canada","data.15 to 24","data.Both sexes","data.Malignant neoplasms",3.3
"62","2015","data.Canada","data.15 to 24","data.Both sexes","data.Diabetes mellitus",0.2
"63","2015","data.Canada","data.15 to 24","data.Both sexes","data.Alzheimer's disease",0
"64","2015","data.Canada","data.15 to 24","data.Both sexes","data.Diseases of heart",0.9
"65","2015","data.Canada","data.15 to 24","data.Both sexes","data.Cerebrovascular diseases",0.2
"66","2015","data.Canada","data.15 to 24","data.Both sexes","data.Influenza and pneumonia",0.3
"67","2015","data.Canada","data.15 to 24","data.Both sexes","data.Chronic lower respiratory diseases",0.1
"68","2015","data.Canada","data.15 to 24","data.Both sexes","data.Chronic liver disease and cirrhosis",0.1
"69","2015","data.Canada","data.15 to 24","data.Both sexes","data.Accidents (unintentional injuries)",15.5
"70","2015","data.Canada","data.15 to 24","data.Both sexes","data.Intentional self-harm (suicide)",11.4
"71","2015","data.Canada","data.15 to 24","data.Males","data.Malignant neoplasms",4.1
"72","2015","data.Canada","data.15 to 24","data.Males","data.Diabetes mellitus",0.3
"73","2015","data.Canada","data.15 to 24","data.Males","data.Alzheimer's disease",0
"74","2015","data.Canada","data.15 to 24","data.Males","data.Diseases of heart",1.1
"75","2015","data.Canada","data.15 to 24","data.Males","data.Cerebrovascular diseases",0
"76","2015","data.Canada","data.15 to 24","data.Males","data.Influenza and pneumonia",0.5
"77","2015","data.Canada","data.15 to 24","data.Males","data.Chronic lower respiratory diseases",0.1
"78","2015","data.Canada","data.15 to 24","data.Males","data.Chronic liver disease and cirrhosis",0.1
"79","2015","data.Canada","data.15 to 24","data.Males","data.Accidents (unintentional injuries)",21.6
"80","2015","data.Canada","data.15 to 24","data.Males","data.Intentional self-harm (suicide)",15.8
"81","2015","data.Canada","data.15 to 24","data.Females","data.Malignant neoplasms",2.5
"82","2015","data.Canada","data.15 to 24","data.Females","data.Diabetes mellitus",0.1
"83","2015","data.Canada","data.15 to 24","data.Females","data.Alzheimer's disease",0
"84","2015","data.Canada","data.15 to 24","data.Females","data.Diseases of heart",0.8
"85","2015","data.Canada","data.15 to 24","data.Females","data.Cerebrovascular diseases",0.3
"86","2015","data.Canada","data.15 to 24","data.Females","data.Influenza and pneumonia",0.1
"87","2015","data.Canada","data.15 to 24","data.Females","data.Chronic lower respiratory diseases",0.2
"88","2015","data.Canada","data.15 to 24","data.Females","data.Chronic liver disease and cirrhosis",0.1
"89","2015","data.Canada","data.15 to 24","data.Females","data.Accidents (unintentional injuries)",9
"90","2015","data.Canada","data.15 to 24","data.Females","data.Intentional self-harm (suicide)",6.7
"91","2015","data.Canada","data.25 to 34 years","data.Both sexes","data.Malignant neoplasms",8.2
"92","2015","data.Canada","data.25 to 34 years","data.Both sexes","data.Diabetes mellitus",1
"93","2015","data.Canada","data.25 to 34 years","data.Both sexes","data.Alzheimer's disease",0
"94","2015","data.Canada","data.25 to 34 years","data.Both sexes","data.Diseases of heart",3
"95","2015","data.Canada","data.25 to 34 years","data.Both sexes","data.Cerebrovascular diseases",0.7
"96","2015","data.Canada","data.25 to 34 years","data.Both sexes","data.Influenza and pneumonia",0.4
"97","2015","data.Canada","data.25 to 34 years","data.Both sexes","data.Chronic lower respiratory diseases",0.2
"98","2015","data.Canada","data.25 to 34 years","data.Both sexes","data.Chronic liver disease and cirrhosis",0.7
"99","2015","data.Canada","data.25 to 34 years","data.Both sexes","data.Accidents (unintentional injuries)",18.9
"100","2015","data.Canada","data.25 to 34 years","data.Both sexes","data.Intentional self-harm (suicide)",13.6
"101","2015","data.Canada","data.25 to 34 years","data.Males","data.Malignant neoplasms",7.4
"102","2015","data.Canada","data.25 to 34 years","data.Males","data.Diabetes mellitus",1.4
"103","2015","data.Canada","data.25 to 34 years","data.Males","data.Alzheimer's disease",0
"104","2015","data.Canada","data.25 to 34 years","data.Males","data.Diseases of heart",3.9
"105","2015","data.Canada","data.25 to 34 years","data.Males","data.Cerebrovascular diseases",0.8
"106","2015","data.Canada","data.25 to 34 years","data.Males","data.Influenza and pneumonia",0.4
"107","2015","data.Canada","data.25 to 34 years","data.Males","data.Chronic lower respiratory diseases",0.2
"108","2015","data.Canada","data.25 to 34 years","data.Males","data.Chronic liver disease and cirrhosis",1.1
"109","2015","data.Canada","data.25 to 34 years","data.Males","data.Accidents (unintentional injuries)",29.8
"110","2015","data.Canada","data.25 to 34 years","data.Males","data.Intentional self-harm (suicide)",19.9
"111","2015","data.Canada","data.25 to 34 years","data.Females","data.Malignant neoplasms",9
"112","2015","data.Canada","data.25 to 34 years","data.Females","data.Diabetes mellitus",0.7
"113","2015","data.Canada","data.25 to 34 years","data.Females","data.Alzheimer's disease",0
"114","2015","data.Canada","data.25 to 34 years","data.Females","data.Diseases of heart",2.1
"115","2015","data.Canada","data.25 to 34 years","data.Females","data.Cerebrovascular diseases",0.6
"116","2015","data.Canada","data.25 to 34 years","data.Females","data.Influenza and pneumonia",0.3
"117","2015","data.Canada","data.25 to 34 years","data.Females","data.Chronic lower respiratory diseases",0.2
"118","2015","data.Canada","data.25 to 34 years","data.Females","data.Chronic liver disease and cirrhosis",0.4
"119","2015","data.Canada","data.25 to 34 years","data.Females","data.Accidents (unintentional injuries)",8
"120","2015","data.Canada","data.25 to 34 years","data.Females","data.Intentional self-harm (suicide)",7.3
"121","2015","data.Canada","data.35 to 44 years","data.Both sexes","data.Malignant neoplasms",23.6
"122","2015","data.Canada","data.35 to 44 years","data.Both sexes","data.Diabetes mellitus",2.2
"123","2015","data.Canada","data.35 to 44 years","data.Both sexes","data.Alzheimer's disease",0
"124","2015","data.Canada","data.35 to 44 years","data.Both sexes","data.Diseases of heart",9.7
"125","2015","data.Canada","data.35 to 44 years","data.Both sexes","data.Cerebrovascular diseases",2.2
"126","2015","data.Canada","data.35 to 44 years","data.Both sexes","data.Influenza and pneumonia",1.2
"127","2015","data.Canada","data.35 to 44 years","data.Both sexes","data.Chronic lower respiratory diseases",0.6
"128","2015","data.Canada","data.35 to 44 years","data.Both sexes","data.Chronic liver disease and cirrhosis",3.4
"129","2015","data.Canada","data.35 to 44 years","data.Both sexes","data.Accidents (unintentional injuries)",18.8
"130","2015","data.Canada","data.35 to 44 years","data.Both sexes","data.Intentional self-harm (suicide)",14.2
"131","2015","data.Canada","data.35 to 44 years","data.Males","data.Malignant neoplasms",19.7
"132","2015","data.Canada","data.35 to 44 years","data.Males","data.Diabetes mellitus",3.1
"133","2015","data.Canada","data.35 to 44 years","data.Males","data.Alzheimer's disease",0
"134","2015","data.Canada","data.35 to 44 years","data.Males","data.Diseases of heart",14.1
"135","2015","data.Canada","data.35 to 44 years","data.Males","data.Cerebrovascular diseases",2.5
"136","2015","data.Canada","data.35 to 44 years","data.Males","data.Influenza and pneumonia",1.4
"137","2015","data.Canada","data.35 to 44 years","data.Males","data.Chronic lower respiratory diseases",0.4
"138","2015","data.Canada","data.35 to 44 years","data.Males","data.Chronic liver disease and cirrhosis",4.1
"139","2015","data.Canada","data.35 to 44 years","data.Males","data.Accidents (unintentional injuries)",28.8
"140","2015","data.Canada","data.35 to 44 years","data.Males","data.Intentional self-harm (suicide)",20.9
"141","2015","data.Canada","data.35 to 44 years","data.Females","data.Malignant neoplasms",27.4
"142","2015","data.Canada","data.35 to 44 years","data.Females","data.Diabetes mellitus",1.3
"143","2015","data.Canada","data.35 to 44 years","data.Females","data.Alzheimer's disease",0
"144","2015","data.Canada","data.35 to 44 years","data.Females","data.Diseases of heart",5.3
"145","2015","data.Canada","data.35 to 44 years","data.Females","data.Cerebrovascular diseases",1.9
"146","2015","data.Canada","data.35 to 44 years","data.Females","data.Influenza and pneumonia",1
"147","2015","data.Canada","data.35 to 44 years","data.Females","data.Chronic lower respiratory diseases",0.8
"148","2015","data.Canada","data.35 to 44 years","data.Females","data.Chronic liver disease and cirrhosis",2.7
"149","2015","data.Canada","data.35 to 44 years","data.Females","data.Accidents (unintentional injuries)",8.9
"150","2015","data.Canada","data.35 to 44 years","data.Females","data.Intentional self-harm (suicide)",7.5
"151","2015","data.Canada","data.45 to 54 years","data.Both sexes","data.Malignant neoplasms",86.9
"152","2015","data.Canada","data.45 to 54 years","data.Both sexes","data.Diabetes mellitus",6.3
"153","2015","data.Canada","data.45 to 54 years","data.Both sexes","data.Alzheimer's disease",0
"154","2015","data.Canada","data.45 to 54 years","data.Both sexes","data.Diseases of heart",35.9
"155","2015","data.Canada","data.45 to 54 years","data.Both sexes","data.Cerebrovascular diseases",6.4
"156","2015","data.Canada","data.45 to 54 years","data.Both sexes","data.Influenza and pneumonia",2.9
"157","2015","data.Canada","data.45 to 54 years","data.Both sexes","data.Chronic lower respiratory diseases",3.9
"158","2015","data.Canada","data.45 to 54 years","data.Both sexes","data.Chronic liver disease and cirrhosis",10.1
"159","2015","data.Canada","data.45 to 54 years","data.Both sexes","data.Accidents (unintentional injuries)",24.1
"160","2015","data.Canada","data.45 to 54 years","data.Both sexes","data.Intentional self-harm (suicide)",18.9
"161","2015","data.Canada","data.45 to 54 years","data.Males","data.Malignant neoplasms",80.2
"162","2015","data.Canada","data.45 to 54 years","data.Males","data.Diabetes mellitus",8.4
"163","2015","data.Canada","data.45 to 54 years","data.Males","data.Alzheimer's disease",0.1
"164","2015","data.Canada","data.45 to 54 years","data.Males","data.Diseases of heart",55
"165","2015","data.Canada","data.45 to 54 years","data.Males","data.Cerebrovascular diseases",6.8
"166","2015","data.Canada","data.45 to 54 years","data.Males","data.Influenza and pneumonia",3
"167","2015","data.Canada","data.45 to 54 years","data.Males","data.Chronic lower respiratory diseases",4
"168","2015","data.Canada","data.45 to 54 years","data.Males","data.Chronic liver disease and cirrhosis",13.6
"169","2015","data.Canada","data.45 to 54 years","data.Males","data.Accidents (unintentional injuries)",34
"170","2015","data.Canada","data.45 to 54 years","data.Males","data.Intentional self-harm (suicide)",27.6
"171","2015","data.Canada","data.45 to 54 years","data.Females","data.Malignant neoplasms",93.6
"172","2015","data.Canada","data.45 to 54 years","data.Females","data.Diabetes mellitus",4.1
"173","2015","data.Canada","data.45 to 54 years","data.Females","data.Alzheimer's disease",0
"174","2015","data.Canada","data.45 to 54 years","data.Females","data.Diseases of heart",16.8
"175","2015","data.Canada","data.45 to 54 years","data.Females","data.Cerebrovascular diseases",5.9
"176","2015","data.Canada","data.45 to 54 years","data.Females","data.Influenza and pneumonia",2.8
"177","2015","data.Canada","data.45 to 54 years","data.Females","data.Chronic lower respiratory diseases",3.9
"178","2015","data.Canada","data.45 to 54 years","data.Females","data.Chronic liver disease and cirrhosis",6.5
"179","2015","data.Canada","data.45 to 54 years","data.Females","data.Accidents (unintentional injuries)",14.2
"180","2015","data.Canada","data.45 to 54 years","data.Females","data.Intentional self-harm (suicide)",10.1
"181","2015","data.Canada","data.55 to 64 years","data.Both sexes","data.Malignant neoplasms",273.4
"182","2015","data.Canada","data.55 to 64 years","data.Both sexes","data.Diabetes mellitus",16.9
"183","2015","data.Canada","data.55 to 64 years","data.Both sexes","data.Alzheimer's disease",1.3
"184","2015","data.Canada","data.55 to 64 years","data.Both sexes","data.Diseases of heart",101.1
"185","2015","data.Canada","data.55 to 64 years","data.Both sexes","data.Cerebrovascular diseases",16.3
"186","2015","data.Canada","data.55 to 64 years","data.Both sexes","data.Influenza and pneumonia",7
"187","2015","data.Canada","data.55 to 64 years","data.Both sexes","data.Chronic lower respiratory diseases",19.8
"188","2015","data.Canada","data.55 to 64 years","data.Both sexes","data.Chronic liver disease and cirrhosis",19.5
"189","2015","data.Canada","data.55 to 64 years","data.Both sexes","data.Accidents (unintentional injuries)",25.5
"190","2015","data.Canada","data.55 to 64 years","data.Both sexes","data.Intentional self-harm (suicide)",17.2
"191","2015","data.Canada","data.55 to 64 years","data.Males","data.Malignant neoplasms",287.7
"192","2015","data.Canada","data.55 to 64 years","data.Males","data.Diabetes mellitus",22.3
"193","2015","data.Canada","data.55 to 64 years","data.Males","data.Alzheimer's disease",0.9
"194","2015","data.Canada","data.55 to 64 years","data.Males","data.Diseases of heart",150.1
"195","2015","data.Canada","data.55 to 64 years","data.Males","data.Cerebrovascular diseases",18.3
"196","2015","data.Canada","data.55 to 64 years","data.Males","data.Influenza and pneumonia",7.6
"197","2015","data.Canada","data.55 to 64 years","data.Males","data.Chronic lower respiratory diseases",22.3
"198","2015","data.Canada","data.55 to 64 years","data.Males","data.Chronic liver disease and cirrhosis",27.3
"199","2015","data.Canada","data.55 to 64 years","data.Males","data.Accidents (unintentional injuries)",37.2
"200","2015","data.Canada","data.55 to 64 years","data.Males","data.Intentional self-harm (suicide)",26.6
"201","2015","data.Canada","data.55 to 64 years","data.Females","data.Malignant neoplasms",259.4
"202","2015","data.Canada","data.55 to 64 years","data.Females","data.Diabetes mellitus",11.6
"203","2015","data.Canada","data.55 to 64 years","data.Females","data.Alzheimer's disease",1.7
"204","2015","data.Canada","data.55 to 64 years","data.Females","data.Diseases of heart",52.7
"205","2015","data.Canada","data.55 to 64 years","data.Females","data.Cerebrovascular diseases",14.3
"206","2015","data.Canada","data.55 to 64 years","data.Females","data.Influenza and pneumonia",6.4
"207","2015","data.Canada","data.55 to 64 years","data.Females","data.Chronic lower respiratory diseases",17.3
"208","2015","data.Canada","data.55 to 64 years","data.Females","data.Chronic liver disease and cirrhosis",11.9
"209","2015","data.Canada","data.55 to 64 years","data.Females","data.Accidents (unintentional injuries)",13.8
"210","2015","data.Canada","data.55 to 64 years","data.Females","data.Intentional self-harm (suicide)",8
"211","2015","data.Canada","data.65 to 74 years","data.Both sexes","data.Malignant neoplasms",622.8
"212","2015","data.Canada","data.65 to 74 years","data.Both sexes","data.Diabetes mellitus",47.3
"213","2015","data.Canada","data.65 to 74 years","data.Both sexes","data.Alzheimer's disease",11.5
"214","2015","data.Canada","data.65 to 74 years","data.Both sexes","data.Diseases of heart",244.7
"215","2015","data.Canada","data.65 to 74 years","data.Both sexes","data.Cerebrovascular diseases",52.9
"216","2015","data.Canada","data.65 to 74 years","data.Both sexes","data.Influenza and pneumonia",21.6
"217","2015","data.Canada","data.65 to 74 years","data.Both sexes","data.Chronic lower respiratory diseases",78.6
"218","2015","data.Canada","data.65 to 74 years","data.Both sexes","data.Chronic liver disease and cirrhosis",26.4
"219","2015","data.Canada","data.65 to 74 years","data.Both sexes","data.Accidents (unintentional injuries)",33.4
"220","2015","data.Canada","data.65 to 74 years","data.Both sexes","data.Intentional self-harm (suicide)",11.5
"221","2015","data.Canada","data.65 to 74 years","data.Males","data.Malignant neoplasms",712.6
"222","2015","data.Canada","data.65 to 74 years","data.Males","data.Diabetes mellitus",63.7
"223","2015","data.Canada","data.65 to 74 years","data.Males","data.Alzheimer's disease",11.9
"224","2015","data.Canada","data.65 to 74 years","data.Males","data.Diseases of heart",342.5
"225","2015","data.Canada","data.65 to 74 years","data.Males","data.Cerebrovascular diseases",59.6
"226","2015","data.Canada","data.65 to 74 years","data.Males","data.Influenza and pneumonia",26.2
"227","2015","data.Canada","data.65 to 74 years","data.Males","data.Chronic lower respiratory diseases",84.7
"228","2015","data.Canada","data.65 to 74 years","data.Males","data.Chronic liver disease and cirrhosis",37.4
"229","2015","data.Canada","data.65 to 74 years","data.Males","data.Accidents (unintentional injuries)",43.7
"230","2015","data.Canada","data.65 to 74 years","data.Males","data.Intentional self-harm (suicide)",18.7
"231","2015","data.Canada","data.65 to 74 years","data.Females","data.Malignant neoplasms",539
"232","2015","data.Canada","data.65 to 74 years","data.Females","data.Diabetes mellitus",32
"233","2015","data.Canada","data.65 to 74 years","data.Females","data.Alzheimer's disease",11.2
"234","2015","data.Canada","data.65 to 74 years","data.Females","data.Diseases of heart",153.3
"235","2015","data.Canada","data.65 to 74 years","data.Females","data.Cerebrovascular diseases",46.6
"236","2015","data.Canada","data.65 to 74 years","data.Females","data.Influenza and pneumonia",17.4
"237","2015","data.Canada","data.65 to 74 years","data.Females","data.Chronic lower respiratory diseases",72.8
"238","2015","data.Canada","data.65 to 74 years","data.Females","data.Chronic liver disease and cirrhosis",16.2
"239","2015","data.Canada","data.65 to 74 years","data.Females","data.Accidents (unintentional injuries)",23.7
"240","2015","data.Canada","data.65 to 74 years","data.Females","data.Intentional self-harm (suicide)",4.8
"241","2015","data.Canada","data.75 to 84 years","data.Both sexes","data.Malignant neoplasms",1254
"242","2015","data.Canada","data.75 to 84 years","data.Both sexes","data.Diabetes mellitus",119
"243","2015","data.Canada","data.75 to 84 years","data.Both sexes","data.Alzheimer's disease",98.7
"244","2015","data.Canada","data.75 to 84 years","data.Both sexes","data.Diseases of heart",750.6
"245","2015","data.Canada","data.75 to 84 years","data.Both sexes","data.Cerebrovascular diseases",226.5
"246","2015","data.Canada","data.75 to 84 years","data.Both sexes","data.Influenza and pneumonia",100.4
"247","2015","data.Canada","data.75 to 84 years","data.Both sexes","data.Chronic lower respiratory diseases",240.9
"248","2015","data.Canada","data.75 to 84 years","data.Both sexes","data.Chronic liver disease and cirrhosis",25.7
"249","2015","data.Canada","data.75 to 84 years","data.Both sexes","data.Accidents (unintentional injuries)",109.9
"250","2015","data.Canada","data.75 to 84 years","data.Both sexes","data.Intentional self-harm (suicide)",12.9
"251","2015","data.Canada","data.75 to 84 years","data.Males","data.Malignant neoplasms",1546.7
"252","2015","data.Canada","data.75 to 84 years","data.Males","data.Diabetes mellitus",147.7
"253","2015","data.Canada","data.75 to 84 years","data.Males","data.Alzheimer's disease",91
"254","2015","data.Canada","data.75 to 84 years","data.Males","data.Diseases of heart",962.9
"255","2015","data.Canada","data.75 to 84 years","data.Males","data.Cerebrovascular diseases",244.2
"256","2015","data.Canada","data.75 to 84 years","data.Males","data.Influenza and pneumonia",119.4
"257","2015","data.Canada","data.75 to 84 years","data.Males","data.Chronic lower respiratory diseases",274.4
"258","2015","data.Canada","data.75 to 84 years","data.Males","data.Chronic liver disease and cirrhosis",35.6
"259","2015","data.Canada","data.75 to 84 years","data.Males","data.Accidents (unintentional injuries)",135.5
"260","2015","data.Canada","data.75 to 84 years","data.Males","data.Intentional self-harm (suicide)",22.4
"261","2015","data.Canada","data.75 to 84 years","data.Females","data.Malignant neoplasms",1018.9
"262","2015","data.Canada","data.75 to 84 years","data.Females","data.Diabetes mellitus",95.9
"263","2015","data.Canada","data.75 to 84 years","data.Females","data.Alzheimer's disease",104.9
"264","2015","data.Canada","data.75 to 84 years","data.Females","data.Diseases of heart",580.1
"265","2015","data.Canada","data.75 to 84 years","data.Females","data.Cerebrovascular diseases",212.3
"266","2015","data.Canada","data.75 to 84 years","data.Females","data.Influenza and pneumonia",85.1
"267","2015","data.Canada","data.75 to 84 years","data.Females","data.Chronic lower respiratory diseases",214
"268","2015","data.Canada","data.75 to 84 years","data.Females","data.Chronic liver disease and cirrhosis",17.8
"269","2015","data.Canada","data.75 to 84 years","data.Females","data.Accidents (unintentional injuries)",89.3
"270","2015","data.Canada","data.75 to 84 years","data.Females","data.Intentional self-harm (suicide)",5.4
"271","2015","data.Canada","data.85 and over","data.Both sexes","data.Malignant neoplasms",2002.5
"272","2015","data.Canada","data.85 and over","data.Both sexes","data.Diabetes mellitus",295.1
"273","2015","data.Canada","data.85 and over","data.Both sexes","data.Alzheimer's disease",583.8
"274","2015","data.Canada","data.85 and over","data.Both sexes","data.Diseases of heart",3033.3
"275","2015","data.Canada","data.85 and over","data.Both sexes","data.Cerebrovascular diseases",902.1
"276","2015","data.Canada","data.85 and over","data.Both sexes","data.Influenza and pneumonia",603
"277","2015","data.Canada","data.85 and over","data.Both sexes","data.Chronic lower respiratory diseases",604.8
"278","2015","data.Canada","data.85 and over","data.Both sexes","data.Chronic liver disease and cirrhosis",24.8
"279","2015","data.Canada","data.85 and over","data.Both sexes","data.Accidents (unintentional injuries)",476
"280","2015","data.Canada","data.85 and over","data.Both sexes","data.Intentional self-harm (suicide)",11.1
"281","2015","data.Canada","data.85 and over","data.Males","data.Malignant neoplasms",2802.7
"282","2015","data.Canada","data.85 and over","data.Males","data.Diabetes mellitus",355.6
"283","2015","data.Canada","data.85 and over","data.Males","data.Alzheimer's disease",467.1
"284","2015","data.Canada","data.85 and over","data.Males","data.Diseases of heart",3417.5
"285","2015","data.Canada","data.85 and over","data.Males","data.Cerebrovascular diseases",855.5
"286","2015","data.Canada","data.85 and over","data.Males","data.Influenza and pneumonia",673.5
"287","2015","data.Canada","data.85 and over","data.Males","data.Chronic lower respiratory diseases",807.7
"288","2015","data.Canada","data.85 and over","data.Males","data.Chronic liver disease and cirrhosis",35.5
"289","2015","data.Canada","data.85 and over","data.Males","data.Accidents (unintentional injuries)",506.8
"290","2015","data.Canada","data.85 and over","data.Males","data.Intentional self-harm (suicide)",26.6
"291","2015","data.Canada","data.85 and over","data.Females","data.Malignant neoplasms",1585.5
"292","2015","data.Canada","data.85 and over","data.Females","data.Diabetes mellitus",263.5
"293","2015","data.Canada","data.85 and over","data.Females","data.Alzheimer's disease",644.6
"294","2015","data.Canada","data.85 and over","data.Females","data.Diseases of heart",2833.1
"295","2015","data.Canada","data.85 and over","data.Females","data.Cerebrovascular diseases",926.4
"296","2015","data.Canada","data.85 and over","data.Females","data.Influenza and pneumonia",566.2
"297","2015","data.Canada","data.85 and over","data.Females","data.Chronic lower respiratory diseases",499.1
"298","2015","data.Canada","data.85 and over","data.Females","data.Chronic liver disease and cirrhosis",19.3
"299","2015","data.Canada","data.85 and over","data.Females","data.Accidents (unintentional injuries)",459.9
"300","2015","data.Canada","data.85 and over","data.Females","data.Intentional self-harm (suicide)",3
"301","2016","data.Canada","data.All ages","data.Both sexes","data.Malignant neoplasms",218.1
"302","2016","data.Canada","data.All ages","data.Both sexes","data.Diabetes mellitus",18.9
"303","2016","data.Canada","data.All ages","data.Both sexes","data.Alzheimer's disease",18
"304","2016","data.Canada","data.All ages","data.Both sexes","data.Diseases of heart",141.7
"305","2016","data.Canada","data.All ages","data.Both sexes","data.Cerebrovascular diseases",37.4
"306","2016","data.Canada","data.All ages","data.Both sexes","data.Influenza and pneumonia",17.2
"307","2016","data.Canada","data.All ages","data.Both sexes","data.Chronic lower respiratory diseases",33.9
"308","2016","data.Canada","data.All ages","data.Both sexes","data.Chronic liver disease and cirrhosis",9.3
"309","2016","data.Canada","data.All ages","data.Both sexes","data.Accidents (unintentional injuries)",34.5
"310","2016","data.Canada","data.All ages","data.Both sexes","data.Intentional self-harm (suicide)",11
"311","2016","data.Canada","data.All ages","data.Males","data.Malignant neoplasms",230.5
