Year,data.Geography,data.Index,GeoCode,Value
2015,data.Northwest Territories ,data.Violent crime severity index,,365.33
2015,data.Northwest Territories ,data.Youth crime severity index,,274.17
2015,data.Northwest Territories ,data.Youth violent crime severity index,,190.28
2015,data.Nunavut ,data.Crime severity index,,275.19
2015,data.Nunavut ,data.Violent crime severity index,,388.59
2015,data.Nunavut ,data.Youth crime severity index,,323.62
2015,data.Nunavut ,data.Youth violent crime severity index,,225.69
2016,data.Canada,data.Violent crime severity index,,76.88
2016,data.Canada,data.Youth crime severity index,,59.89
2016,data.Canada,data.Youth violent crime severity index,,70.93
2016,data.Newfoundland and Labrador ,data.Crime severity index,,69.55
2016,data.Newfoundland and Labrador ,data.Violent crime severity index,,73.58
2016,data.Newfoundland and Labrador ,data.Youth crime severity index,,60.66
2016,data.Newfoundland and Labrador ,data.Youth violent crime severity index,,52.31
2016,data.Prince Edward Island ,data.Crime severity index,,49.33
2016,data.Prince Edward Island ,data.Violent crime severity index,,36.85
2016,data.Prince Edward Island ,data.Youth crime severity index,,31.4
2016,data.Prince Edward Island ,data.Youth violent crime severity index,,27.16
2016,data.Nova Scotia ,data.Crime severity index,,62.32
2016,data.Nova Scotia ,data.Violent crime severity index,,71.11
2016,data.Nova Scotia ,data.Youth crime severity index,,80.77
2016,data.Nova Scotia ,data.Youth violent crime severity index,,89
2016,data.New Brunswick ,data.Crime severity index,,61.56
2016,data.New Brunswick ,data.Violent crime severity index,,65.89
2016,data.New Brunswick ,data.Youth crime severity index,,58.1
2016,data.New Brunswick ,data.Youth violent crime severity index,,54.72
2016,data.Quebec ,data.Crime severity index,,56.62
2016,data.Quebec ,data.Violent crime severity index,,67.85
2016,data.Quebec ,data.Youth crime severity index,,57.75
2016,data.Quebec ,data.Youth violent crime severity index,,77.76
2016,data.Ontario ,data.Crime severity index,,53.29
2016,data.Ontario ,data.Violent crime severity index,,64.6
2016,data.Ontario ,data.Youth crime severity index,,51.06
2016,data.Ontario ,data.Youth violent crime severity index,,66.85
2016,data.Manitoba ,data.Crime severity index,,115.38
2016,data.Manitoba ,data.Violent crime severity index,,153.38
2016,data.Manitoba ,data.Youth crime severity index,,113.24
2016,data.Manitoba ,data.Youth violent crime severity index,,126.73
2016,data.Saskatchewan ,data.Crime severity index,,151.37
2016,data.Saskatchewan ,data.Violent crime severity index,,150.52
2016,data.Saskatchewan ,data.Youth crime severity index,,172.77
2016,data.Saskatchewan ,data.Youth violent crime severity index,,164.2
2016,data.Alberta ,data.Crime severity index,,105.99
2016,data.Alberta ,data.Violent crime severity index,,92.89
2016,data.Alberta ,data.Youth crime severity index,,56.77
2016,data.Alberta ,data.Youth violent crime severity index,,60.89
2016,data.British Columbia ,data.Crime severity index,,91.73
2016,data.British Columbia ,data.Violent crime severity index,,73.54
2016,data.British Columbia ,data.Youth crime severity index,,35.97
2016,data.British Columbia ,data.Youth violent crime severity index,,37.02
2016,data.Yukon ,data.Crime severity index,,185.89
2016,data.Yukon ,data.Violent crime severity index,,236.25
2016,data.Yukon ,data.Youth crime severity index,,193.18
2016,data.Yukon ,data.Youth violent crime severity index,,196.48
2016,data.Northwest Territories ,data.Crime severity index,,297.36
2016,data.Northwest Territories ,data.Violent crime severity index,,336.14
2016,data.Northwest Territories ,data.Youth crime severity index,,246.93
2016,data.Northwest Territories ,data.Youth violent crime severity index,,139.48
2016,data.Nunavut ,data.Crime severity index,,294.87
2016,data.Nunavut ,data.Violent crime severity index,,433.18
2016,data.Nunavut ,data.Youth crime severity index,,292.3
2016,data.Nunavut ,data.Youth violent crime severity index,,198.21
2017,data.Canada,data.Violent crime severity index,,81.27
2017,data.Canada,data.Youth crime severity index,,62.68
2017,data.Canada,data.Youth violent crime severity index,,80.51
2017,data.Newfoundland and Labrador ,data.Crime severity index,,63.52
2017,data.Newfoundland and Labrador ,data.Violent crime severity index,,70.54
2017,data.Newfoundland and Labrador ,data.Youth crime severity index,,65.67
2017,data.Newfoundland and Labrador ,data.Youth violent crime severity index,,58.36
2017,data.Prince Edward Island ,data.Crime severity index,,45.89
2017,data.Prince Edward Island ,data.Violent crime severity index,,40.22
2017,data.Prince Edward Island ,data.Youth crime severity index,,29.24
2017,data.Prince Edward Island ,data.Youth violent crime severity index,,30.75
2017,data.Nova Scotia ,data.Crime severity index,,66.28
2017,data.Nova Scotia ,data.Violent crime severity index,,78.83
2017,data.Nova Scotia ,data.Youth crime severity index,,69.18
2017,data.Nova Scotia ,data.Youth violent crime severity index,,82.4
2017,data.New Brunswick ,data.Crime severity index,,68.76
2017,data.New Brunswick ,data.Violent crime severity index,,69.75
2017,data.New Brunswick ,data.Youth crime severity index,,51.85
2017,data.New Brunswick ,data.Youth violent crime severity index,,51.71
2017,data.Quebec ,data.Crime severity index,,57.8
2017,data.Quebec ,data.Violent crime severity index,,72.75
2017,data.Quebec ,data.Youth crime severity index,,58.5
2017,data.Quebec ,data.Youth violent crime severity index,,77.92
2017,data.Ontario ,data.Crime severity index,,56.35
2017,data.Ontario ,data.Violent crime severity index,,69.83
2017,data.Ontario ,data.Youth crime severity index,,57.34
2017,data.Ontario ,data.Youth violent crime severity index,,83.21
2017,data.Manitoba ,data.Crime severity index,,119.03
2017,data.Manitoba ,data.Violent crime severity index,,160.79
2017,data.Manitoba ,data.Youth crime severity index,,131.23
2017,data.Manitoba ,data.Youth violent crime severity index,,178.98
2017,data.Saskatchewan ,data.Crime severity index,,143.17
2017,data.Saskatchewan ,data.Violent crime severity index,,145.6
2017,data.Saskatchewan ,data.Youth crime severity index,,161.49
2017,data.Saskatchewan ,data.Youth violent crime severity index,,158.71
2017,data.Alberta ,data.Crime severity index,,112.06
2017,data.Alberta ,data.Violent crime severity index,,98.56
2017,data.Alberta ,data.Youth crime severity index,,56.2
2017,data.Alberta ,data.Youth violent crime severity index,,63.64
2017,data.British Columbia ,data.Crime severity index,,87.14
2017,data.British Columbia ,data.Violent crime severity index,,74.5
2017,data.British Columbia ,data.Youth crime severity index,,37.35
2017,data.British Columbia ,data.Youth violent crime severity index,,41.79
2017,data.Yukon ,data.Crime severity index,,183.93
2017,data.Yukon ,data.Violent crime severity index,,251.9
2017,data.Yukon ,data.Youth crime severity index,,172.79
2017,data.Yukon ,data.Youth violent crime severity index,,139.4
2017,data.Northwest Territories ,data.Crime severity index,,309.48
2017,data.Northwest Territories ,data.Violent crime severity index,,373.23
2017,data.Northwest Territories ,data.Youth crime severity index,,258.35
2017,data.Northwest Territories ,data.Youth violent crime severity index,,217.84
2017,data.Nunavut ,data.Crime severity index,,300.53
2017,data.Nunavut ,data.Violent crime severity index,,474.61
2017,data.Nunavut ,data.Youth crime severity index,,298.55
2017,data.Nunavut ,data.Youth violent crime severity index,,279.83
2018,data.Canada,data.Violent crime severity index,,83.55
2018,data.Canada,data.Youth crime severity index,,56.58
2018,data.Canada,data.Youth violent crime severity index,,77.04
2018,data.Newfoundland and Labrador ,data.Crime severity index,,64.85
2018,data.Newfoundland and Labrador ,data.Violent crime severity index,,71.74
2018,data.Newfoundland and Labrador ,data.Youth crime severity index,,55.64
2018,data.Newfoundland and Labrador ,data.Youth violent crime severity index,,57.78
2018,data.Prince Edward Island ,data.Crime severity index,,54.24
2018,data.Prince Edward Island ,data.Violent crime severity index,,49.05
2018,data.Prince Edward Island ,data.Youth crime severity index,,30.2
2018,data.Prince Edward Island ,data.Youth violent crime severity index,,34.87
2018,data.Nova Scotia ,data.Crime severity index,,65.58
2018,data.Nova Scotia ,data.Violent crime severity index,,79.05
2018,data.Nova Scotia ,data.Youth crime severity index,,58.63
2018,data.Nova Scotia ,data.Youth violent crime severity index,,73.68
2018,data.New Brunswick ,data.Crime severity index,,73
2018,data.New Brunswick ,data.Violent crime severity index,,76.87
2018,data.New Brunswick ,data.Youth crime severity index,,48.39
2018,data.New Brunswick ,data.Youth violent crime severity index,,53.56
2018,data.Quebec ,data.Crime severity index,,56.53
2018,data.Quebec ,data.Violent crime severity index,,71.67
2018,data.Quebec ,data.Youth crime severity index,,58.29
2018,data.Quebec ,data.Youth violent crime severity index,,81.41
2018,data.Ontario ,data.Crime severity index,,60.4
2018,data.Ontario ,data.Violent crime severity index,,74.51
2018,data.Ontario ,data.Youth crime severity index,,51.03
2018,data.Ontario ,data.Youth violent crime severity index,,77.42
2018,data.Manitoba ,data.Crime severity index,,126.15
2018,data.Manitoba ,data.Violent crime severity index,,170.49
2018,data.Manitoba ,data.Youth crime severity index,,108.88
2018,data.Manitoba ,data.Youth violent crime severity index,,144.24
2018,data.Saskatchewan ,data.Crime severity index,,140.74
2018,data.Saskatchewan ,data.Violent crime severity index,,141.3
2018,data.Saskatchewan ,data.Youth crime severity index,,117.1
2018,data.Saskatchewan ,data.Youth violent crime severity index,,125.6
2018,data.Alberta ,data.Crime severity index,,113.65
2018,data.Alberta ,data.Violent crime severity index,,99.5
2018,data.Alberta ,data.Youth crime severity index,,56.98
2018,data.Alberta ,data.Youth violent crime severity index,,76.17
2018,data.British Columbia ,data.Crime severity index,,88.84
2018,data.British Columbia ,data.Violent crime severity index,,75.17
2018,data.British Columbia ,data.Youth crime severity index,,33.89
2018,data.British Columbia ,data.Youth violent crime severity index,,38.61
2018,data.Yukon ,data.Crime severity index,,172.12
2018,data.Yukon ,data.Violent crime severity index,,214.42
2018,data.Yukon ,data.Youth crime severity index,,150.88
2018,data.Yukon ,data.Youth violent crime severity index,,123.43
2018,data.Northwest Territories ,data.Crime severity index,,325.31
2018,data.Northwest Territories ,data.Violent crime severity index,,426.29
2018,data.Northwest Territories ,data.Youth crime severity index,,214.2
2018,data.Northwest Territories ,data.Youth violent crime severity index,,170.84
2018,data.Nunavut ,data.Crime severity index,,325.47
2018,data.Nunavut ,data.Violent crime severity index,,562.55
2018,data.Nunavut ,data.Youth crime severity index,,210.13
2018,data.Nunavut ,data.Youth violent crime severity index,,179.26
2019,data.Canada,data.Violent crime severity index,,90.28
2019,data.Canada,data.Youth crime severity index,,55.1
2019,data.Canada,data.Youth violent crime severity index,,79.82
2019,data.Newfoundland and Labrador ,data.Crime severity index,,71.91
2019,data.Newfoundland and Labrador ,data.Violent crime severity index,,79.79
2019,data.Newfoundland and Labrador ,data.Youth crime severity index,,46.49
2019,data.Newfoundland and Labrador ,data.Youth violent crime severity index,,49.01
2019,data.Prince Edward Island ,data.Crime severity index,,64.27
2019,data.Prince Edward Island ,data.Violent crime severity index,,64.62
2019,data.Prince Edward Island ,data.Youth crime severity index,,31.27
2019,data.Prince Edward Island ,data.Youth violent crime severity index,,32.33
2019,data.Nova Scotia ,data.Crime severity index,,66.41
2019,data.Nova Scotia ,data.Violent crime severity index,,82.72
2019,data.Nova Scotia ,data.Youth crime severity index,,51.47
2019,data.Nova Scotia ,data.Youth violent crime severity index,,59.76
2019,data.New Brunswick ,data.Crime severity index,,80.24
2019,data.New Brunswick ,data.Violent crime severity index,,87.36
2019,data.New Brunswick ,data.Youth crime severity index,,48.15
2019,data.New Brunswick ,data.Youth violent crime severity index,,65.17
2019,data.Quebec ,data.Crime severity index,,55.78
2019,data.Quebec ,data.Violent crime severity index,,75.11
2019,data.Quebec ,data.Youth crime severity index,,58.74
2019,data.Quebec ,data.Youth violent crime severity index,,89.21
2019,data.Ontario ,data.Crime severity index,,60.99
2019,data.Ontario ,data.Violent crime severity index,,75.41
2019,data.Ontario ,data.Youth crime severity index,,48.3
2019,data.Ontario ,data.Youth violent crime severity index,,75.78
2019,data.Manitoba ,data.Crime severity index,,139.65
2019,data.Manitoba ,data.Violent crime severity index,,189.75
2019,data.Manitoba ,data.Youth crime severity index,,105.49
2019,data.Manitoba ,data.Youth violent crime severity index,,157.75
2019,data.Saskatchewan ,data.Crime severity index,,149.62
2019,data.Saskatchewan ,data.Violent crime severity index,,173.63
2019,data.Saskatchewan ,data.Youth crime severity index,,111.81
2019,data.Saskatchewan ,data.Youth violent crime severity index,,135.32
2019,data.Alberta ,data.Crime severity index,,120.14
2019,data.Alberta ,data.Violent crime severity index,,108.18
2019,data.Alberta ,data.Youth crime severity index,,53.14
2019,data.Alberta ,data.Youth violent crime severity index,,72.18
2019,data.British Columbia ,data.Crime severity index,,104.28
2019,data.British Columbia ,data.Violent crime severity index,,91.74
2019,data.British Columbia ,data.Youth crime severity index,,38.82
2019,data.British Columbia ,data.Youth violent crime severity index,,50.47
2019,data.Yukon ,data.Crime severity index,,212.69
2019,data.Yukon ,data.Violent crime severity index,,231.93
2019,data.Yukon ,data.Youth crime severity index,,103.79
2019,data.Yukon ,data.Youth violent crime severity index,,88.92
2019,data.Northwest Territories ,data.Crime severity index,,389
2019,data.Northwest Territories ,data.Violent crime severity index,,484.64
2019,data.Northwest Territories ,data.Youth crime severity index,,203.47
2019,data.Northwest Territories ,data.Youth violent crime severity index,,198.64
2019,data.Nunavut ,data.Crime severity index,,371.82
2019,data.Nunavut ,data.Violent crime severity index,,640.76
2019,data.Nunavut ,data.Youth crime severity index,,227.9
2019,data.Nunavut ,data.Youth violent crime severity index,,244.82
2020,data.Canada,data.Violent crime severity index,,87.97
2020,data.Canada,data.Youth crime severity index,,42.99
2020,data.Canada,data.Youth violent crime severity index,,66.88
2020,data.Newfoundland and Labrador ,data.Crime severity index,,69.56
2020,data.Newfoundland and Labrador ,data.Violent crime severity index,,81.78
2020,data.Newfoundland and Labrador ,data.Youth crime severity index,,36.93
2020,data.Newfoundland and Labrador ,data.Youth violent crime severity index,,50.66
2020,data.Prince Edward Island ,data.Crime severity index,,57.24
2020,data.Prince Edward Island ,data.Violent crime severity index,,56.39
2020,data.Prince Edward Island ,data.Youth crime severity index,,19.1
2020,data.Prince Edward Island ,data.Youth violent crime severity index,,22.65
2020,data.Nova Scotia ,data.Crime severity index,,72.15
2020,data.Nova Scotia ,data.Violent crime severity index,,100.2
2020,data.Nova Scotia ,data.Youth crime severity index,,34.93
2020,data.Nova Scotia ,data.Youth violent crime severity index,,48.46
2020,data.New Brunswick ,data.Crime severity index,,83.35
2020,data.New Brunswick ,data.Violent crime severity index,,84.37
2020,data.New Brunswick ,data.Youth crime severity index,,38.22
2020,data.New Brunswick ,data.Youth violent crime severity index,,47.05
2020,data.Quebec ,data.Crime severity index,,51.59
2020,data.Quebec ,data.Violent crime severity index,,74.34
2020,data.Quebec ,data.Youth crime severity index,,48.52
2020,data.Quebec ,data.Youth violent crime severity index,,76.55
2020,data.Ontario ,data.Crime severity index,,55.47
2020,data.Ontario ,data.Violent crime severity index,,69.58
2020,data.Ontario ,data.Youth crime severity index,,37.33
2020,data.Ontario ,data.Youth violent crime severity index,,62.53
2020,data.Manitoba ,data.Crime severity index,,125.84
2020,data.Manitoba ,data.Violent crime severity index,,171
2020,data.Manitoba ,data.Youth crime severity index,,83.34
2020,data.Manitoba ,data.Youth violent crime severity index,,128.72
2020,data.Saskatchewan ,data.Crime severity index,,142.6
2020,data.Saskatchewan ,data.Violent crime severity index,,179.28
2020,data.Saskatchewan ,data.Youth crime severity index,,93.36
2020,data.Saskatchewan ,data.Youth violent crime severity index,,129.34
2020,data.Alberta ,data.Crime severity index,,108.7
2020,data.Alberta ,data.Violent crime severity index,,109.72
2020,data.Alberta ,data.Youth crime severity index,,38.01
2020,data.Alberta ,data.Youth violent crime severity index,,59.26
2020,data.British Columbia ,data.Crime severity index,,97.35
2020,data.British Columbia ,data.Violent crime severity index,,91.22
2020,data.British Columbia ,data.Youth crime severity index,,29.39
2020,data.British Columbia ,data.Youth violent crime severity index,,40.3
2020,data.Yukon ,data.Crime severity index,,214.71
2020,data.Yukon ,data.Violent crime severity index,,255.26
2020,data.Yukon ,data.Youth crime severity index,,115.4
2020,data.Yukon ,data.Youth violent crime severity index,,129.95
2020,data.Northwest Territories ,data.Crime severity index,,414.06
2020,data.Northwest Territories ,data.Violent crime severity index,,517.3
2020,data.Northwest Territories ,data.Youth crime severity index,,141.95
2020,data.Northwest Territories ,data.Youth violent crime severity index,,152.09
2020,data.Nunavut ,data.Crime severity index,,378.01
2020,data.Nunavut ,data.Violent crime severity index,,655.97
2020,data.Nunavut ,data.Youth crime severity index,,136.06
2020,data.Nunavut ,data.Youth violent crime severity index,,176.87
2021,data.Canada,data.Violent crime severity index,,92.5
2021,data.Canada,data.Youth crime severity index,,40.96
2021,data.Canada,data.Youth violent crime severity index,,64.2
2021,data.Newfoundland and Labrador ,data.Crime severity index,,75.5
2021,data.Newfoundland and Labrador ,data.Violent crime severity index,,97.31
2021,data.Newfoundland and Labrador ,data.Youth crime severity index,,31.77
2021,data.Newfoundland and Labrador ,data.Youth violent crime severity index,,40.92
2021,data.Prince Edward Island ,data.Crime severity index,,56.95
2021,data.Prince Edward Island ,data.Violent crime severity index,,60.03
2021,data.Prince Edward Island ,data.Youth crime severity index,,22.61
2021,data.Prince Edward Island ,data.Youth violent crime severity index,,29.67
2021,data.Nova Scotia ,data.Crime severity index,,71.6
2021,data.Nova Scotia ,data.Violent crime severity index,,94.66
2021,data.Nova Scotia ,data.Youth crime severity index,,39.43
2021,data.Nova Scotia ,data.Youth violent crime severity index,,52.58
2021,data.New Brunswick ,data.Crime severity index,,88.48
2021,data.New Brunswick ,data.Violent crime severity index,,90.35
2021,data.New Brunswick ,data.Youth crime severity index,,31.99
2021,data.New Brunswick ,data.Youth violent crime severity index,,43.29
2021,data.Quebec ,data.Crime severity index,,54.3
2021,data.Quebec ,data.Violent crime severity index,,82.95
2021,data.Quebec ,data.Youth crime severity index,,54.3
2021,data.Quebec ,data.Youth violent crime severity index,,89.29
2021,data.Ontario ,data.Crime severity index,,56.21
2021,data.Ontario ,data.Violent crime severity index,,72.15
2021,data.Ontario ,data.Youth crime severity index,,31.87
2021,data.Ontario ,data.Youth violent crime severity index,,51.98
2021,data.Manitoba ,data.Crime severity index,,126.92
2021,data.Manitoba ,data.Violent crime severity index,,182.46
2021,data.Manitoba ,data.Youth crime severity index,,72.42
2021,data.Manitoba ,data.Youth violent crime severity index,,114.9
2021,data.Saskatchewan ,data.Crime severity index,,146.76
2021,data.Saskatchewan ,data.Violent crime severity index,,185.93
2021,data.Saskatchewan ,data.Youth crime severity index,,88.96
2021,data.Saskatchewan ,data.Youth violent crime severity index,,126.37
2021,data.Alberta ,data.Crime severity index,,101.36
2021,data.Alberta ,data.Violent crime severity index,,112.41
2021,data.Alberta ,data.Youth crime severity index,,36.59
2021,data.Alberta ,data.Youth violent crime severity index,,56.73
2021,data.British Columbia ,data.Crime severity index,,92.86
2021,data.British Columbia ,data.Violent crime severity index,,95.16
2021,data.British Columbia ,data.Youth crime severity index,,26.92
2021,data.British Columbia ,data.Youth violent crime severity index,,38.24
2021,data.Yukon ,data.Crime severity index,,213.26
2021,data.Yukon ,data.Violent crime severity index,,268.71
2021,data.Yukon ,data.Youth crime severity index,,114.61
2021,data.Yukon ,data.Youth violent crime severity index,,145.8
2021,data.Northwest Territories ,data.Crime severity index,,391.27
2021,data.Northwest Territories ,data.Violent crime severity index,,472.73
2021,data.Northwest Territories ,data.Youth crime severity index,,109.73
2021,data.Northwest Territories ,data.Youth violent crime severity index,,143.49
2021,data.Nunavut ,data.Crime severity index,,384.09
2021,data.Nunavut ,data.Violent crime severity index,,596.08
2021,data.Nunavut ,data.Youth crime severity index,,131.34
2021,data.Nunavut ,data.Youth violent crime severity index,,134.46
