"Year","data.Geography","data.Sex","data.Age group","GeoCode","Value"
"2015","data.British Columbia","data.Females","data.45 years and over",59,22.13
"2015","data.British Columbia","data.Females","data.55 to 64 years",59,13.13
"2015","data.British Columbia","data.Females","data.55 years and over",59,12.31
"2015","data.British Columbia","data.Females","data.65 years and over",59,0
"2015","data.British Columbia","data.Males","data.15 to 24 years",59,20.49
"2015","data.British Columbia","data.Males","data.15 years and over",59,28.49
"2015","data.British Columbia","data.Males","data.25 to 44 years",59,43.11
"2015","data.British Columbia","data.Males","data.25 to 54 years",59,46.98
"2015","data.British Columbia","data.Males","data.25 years and over",59,33.93
"2015","data.British Columbia","data.Males","data.45 years and over",59,24.88
"2015","data.British Columbia","data.Males","data.55 to 64 years",59,18.07
"2015","data.British Columbia","data.Males","data.55 years and over",59,11.85
"2015","data.British Columbia","data.Males","data.65 years and over",59,0
"2015","data.Canada","data.Both sexes","data.15 to 24 years",,19.28
"2015","data.Canada","data.Both sexes","data.25 to 44 years",,36.44
"2015","data.Canada","data.Both sexes","data.25 to 54 years",,36.49
"2015","data.Canada","data.Both sexes","data.25 years and over",,30.14
"2015","data.Canada","data.Both sexes","data.45 years and over",,25.46
"2015","data.Canada","data.Both sexes","data.55 to 64 years",,24.31
"2015","data.Canada","data.Both sexes","data.55 years and over",,18.56
"2015","data.Canada","data.Both sexes","data.65 years and over",,8.59
"2015","data.Canada","data.Females","data.15 to 24 years",,18.59
"2015","data.Canada","data.Females","data.15 years and over",,25.45
"2015","data.Canada","data.Females","data.25 to 44 years",,32.93
"2015","data.Canada","data.Females","data.25 to 54 years",,33.05
"2015","data.Canada","data.Females","data.25 years and over",,28.53
"2015","data.Canada","data.Females","data.45 years and over",,24.92
"2015","data.Canada","data.Females","data.55 to 64 years",,22.64
"2015","data.Canada","data.Females","data.55 years and over",,18.38
"2015","data.Canada","data.Females","data.65 years and over",,5.32
"2015","data.Canada","data.Males","data.15 to 24 years",,20.23
"2015","data.Canada","data.Males","data.15 years and over",,27.92
"2015","data.Canada","data.Males","data.25 to 44 years",,46.6
"2015","data.Canada","data.Males","data.25 to 54 years",,47.07
"2015","data.Canada","data.Males","data.25 years and over",,34.02
"2015","data.Canada","data.Males","data.45 years and over",,26.54
"2015","data.Canada","data.Males","data.55 to 64 years",,28.15
"2015","data.Canada","data.Males","data.55 years and over",,18.79
"2015","data.Canada","data.Males","data.65 years and over",,8.48
"2015","data.Manitoba","data.Both sexes","data.15 to 24 years",46,20.99
"2015","data.Manitoba","data.Both sexes","data.15 years and over",46,24.32
"2015","data.Manitoba","data.Both sexes","data.25 to 44 years",46,32.17
"2015","data.Manitoba","data.Both sexes","data.25 to 54 years",46,32.46
"2015","data.Manitoba","data.Both sexes","data.25 years and over",46,26.11
"2015","data.Manitoba","data.Both sexes","data.45 years and over",46,21.32
"2015","data.Manitoba","data.Both sexes","data.55 to 64 years",46,18.48
"2015","data.Manitoba","data.Both sexes","data.55 years and over",46,14.29
"2015","data.Manitoba","data.Both sexes","data.65 years and over",46,0
"2015","data.Manitoba","data.Females","data.15 to 24 years",46,19.43
"2015","data.Manitoba","data.Females","data.15 years and over",46,22.56
"2015","data.Manitoba","data.Females","data.25 to 44 years",46,28.2
"2015","data.Manitoba","data.Females","data.25 to 54 years",46,28.87
"2015","data.Manitoba","data.Females","data.25 years and over",46,24.29
"2015","data.Manitoba","data.Females","data.45 years and over",46,20.47
"2015","data.Manitoba","data.Females","data.55 to 64 years",46,12.2
"2015","data.Manitoba","data.Females","data.55 years and over",46,9.66
"2015","data.Manitoba","data.Females","data.65 years and over",46,0
"2015","data.Manitoba","data.Males","data.15 to 24 years",46,23.73
"2015","data.Manitoba","data.Males","data.15 years and over",46,27.89
"2015","data.Manitoba","data.Males","data.25 to 44 years",46,36.71
"2015","data.Manitoba","data.Males","data.25 to 54 years",46,45.05
"2015","data.Manitoba","data.Males","data.25 years and over",46,31.22
"2015","data.Manitoba","data.Males","data.45 years and over",46,18.18
"2015","data.Manitoba","data.Males","data.55 to 64 years",46,16.39
"2015","data.Manitoba","data.Males","data.55 years and over",46,10.81
"2015","data.Manitoba","data.Males","data.65 years and over",46,0
"2015","data.New Brunswick","data.Both sexes","data.15 to 24 years",13,20.88
"2015","data.New Brunswick","data.Both sexes","data.15 years and over",13,30.22
"2015","data.New Brunswick","data.Both sexes","data.25 to 44 years",13,48.48
"2015","data.New Brunswick","data.Both sexes","data.25 to 54 years",13,45.32
"2015","data.New Brunswick","data.Both sexes","data.25 years and over",13,35.03
"2015","data.New Brunswick","data.Both sexes","data.45 years and over",13,26.91
"2015","data.New Brunswick","data.Both sexes","data.55 to 64 years",13,15.56
"2015","data.New Brunswick","data.Both sexes","data.55 years and over",13,15.23
"2015","data.New Brunswick","data.Both sexes","data.65 years and over",13,8.2
"2015","data.New Brunswick","data.Females","data.15 to 24 years",13,9.26
"2015","data.New Brunswick","data.Females","data.15 years and over",13,30.42
"2015","data.New Brunswick","data.Females","data.25 to 44 years",13,45.92
"2015","data.New Brunswick","data.Females","data.25 to 54 years",13,42.86
"2015","data.New Brunswick","data.Females","data.25 years and over",13,35.63
"2015","data.New Brunswick","data.Females","data.45 years and over",13,28.67
"2015","data.New Brunswick","data.Females","data.55 to 64 years",13,15.62
"2015","data.New Brunswick","data.Females","data.55 years and over",13,13.98
"2015","data.New Brunswick","data.Females","data.65 years and over",13,0
"2015","data.New Brunswick","data.Males","data.15 to 24 years",13,10.81
"2015","data.New Brunswick","data.Males","data.15 years and over",13,29.83
"2015","data.New Brunswick","data.Males","data.25 to 44 years",13,38.24
"2015","data.New Brunswick","data.Males","data.25 to 54 years",13,38.78
"2015","data.New Brunswick","data.Males","data.25 years and over",13,34.58
"2015","data.New Brunswick","data.Males","data.45 years and over",13,12.33
"2015","data.New Brunswick","data.Males","data.55 to 64 years",13,0
"2015","data.New Brunswick","data.Males","data.55 years and over",13,10.34
"2015","data.New Brunswick","data.Males","data.65 years and over",13,0
"2015","data.Newfoundland and Labrador","data.Both sexes","data.15 to 24 years",10,17.42
"2015","data.Newfoundland and Labrador","data.Both sexes","data.15 years and over",10,34.1
"2015","data.Newfoundland and Labrador","data.Both sexes","data.25 to 44 years",10,46.24
"2015","data.Newfoundland and Labrador","data.Both sexes","data.25 to 54 years",10,51.52
"2015","data.Newfoundland and Labrador","data.Both sexes","data.25 years and over",10,42.99
"2015","data.Newfoundland and Labrador","data.Both sexes","data.45 years and over",10,32.23
"2015","data.Newfoundland and Labrador","data.Both sexes","data.55 to 64 years",10,23.21
"2015","data.Newfoundland and Labrador","data.Both sexes","data.55 years and over",10,18.29
"2015","data.Newfoundland and Labrador","data.Both sexes","data.65 years and over",10,0
"2015","data.Newfoundland and Labrador","data.Females","data.15 to 24 years",10,18.07
"2015","data.Newfoundland and Labrador","data.Females","data.15 years and over",10,36.63
"2015","data.Newfoundland and Labrador","data.Females","data.25 to 44 years",10,38.24
"2015","data.Newfoundland and Labrador","data.Females","data.25 to 54 years",10,50.98
"2015","data.Newfoundland and Labrador","data.Females","data.25 years and over",10,44.1
"2015","data.Newfoundland and Labrador","data.Females","data.45 years and over",10,33.7
"2015","data.Newfoundland and Labrador","data.Females","data.55 to 64 years",10,22.73
"2015","data.Newfoundland and Labrador","data.Females","data.55 years and over",10,20.34
"2015","data.Newfoundland and Labrador","data.Females","data.65 years and over",10,0
"2015","data.Newfoundland and Labrador","data.Males","data.15 to 24 years",10,0
"2015","data.Newfoundland and Labrador","data.Males","data.15 years and over",10,24.51
"2015","data.Newfoundland and Labrador","data.Males","data.25 to 44 years",10,29.17
"2015","data.Newfoundland and Labrador","data.Males","data.25 to 54 years",10,46.67
"2015","data.Newfoundland and Labrador","data.Males","data.25 years and over",10,32.08
"2015","data.Newfoundland and Labrador","data.Males","data.45 years and over",10,0
"2015","data.Newfoundland and Labrador","data.Males","data.55 to 64 years",10,0
"2015","data.Newfoundland and Labrador","data.Males","data.55 years and over",10,0
"2015","data.Newfoundland and Labrador","data.Males","data.65 years and over",10,0
"2015","data.Nova Scotia","data.Both sexes","data.15 to 24 years",12,23.16
"2015","data.Nova Scotia","data.Both sexes","data.15 years and over",12,30.53
"2015","data.Nova Scotia","data.Both sexes","data.25 to 44 years",12,40.43
"2015","data.Nova Scotia","data.Both sexes","data.25 to 54 years",12,41.18
"2015","data.Nova Scotia","data.Both sexes","data.25 years and over",12,34.44
"2015","data.Nova Scotia","data.Both sexes","data.45 years and over",12,31.29
"2015","data.Nova Scotia","data.Both sexes","data.55 to 64 years",12,29.55
"2015","data.Nova Scotia","data.Both sexes","data.55 years and over",12,23.56
"2015","data.Nova Scotia","data.Both sexes","data.65 years and over",12,8
"2015","data.Nova Scotia","data.Females","data.15 to 24 years",12,16.56
"2015","data.Nova Scotia","data.Females","data.15 years and over",12,30.27
"2015","data.Nova Scotia","data.Females","data.25 to 44 years",12,35.42
"2015","data.Nova Scotia","data.Females","data.25 to 54 years",12,38.7
"2015","data.Nova Scotia","data.Females","data.25 years and over",12,34.54
"2015","data.Nova Scotia","data.Females","data.45 years and over",12,32.24
"2015","data.Nova Scotia","data.Females","data.55 to 64 years",12,26.37
"2015","data.Nova Scotia","data.Females","data.55 years and over",12,25.78
"2015","data.Nova Scotia","data.Females","data.65 years and over",12,0
"2015","data.Nova Scotia","data.Males","data.15 to 24 years",12,23.85
"2015","data.Nova Scotia","data.Males","data.15 years and over",12,31.44
"2015","data.Nova Scotia","data.Males","data.25 to 44 years",12,43.18
"2015","data.Nova Scotia","data.Males","data.25 to 54 years",12,43.42
"2015","data.Nova Scotia","data.Males","data.25 years and over",12,30.32
"2015","data.Nova Scotia","data.Males","data.45 years and over",12,25.23
"2015","data.Nova Scotia","data.Males","data.55 to 64 years",12,19.05
"2015","data.Nova Scotia","data.Males","data.55 years and over",12,12.66
"2015","data.Nova Scotia","data.Males","data.65 years and over",12,0
"2015","data.Ontario","data.Both sexes","data.15 to 24 years",35,22.09
"2015","data.Ontario","data.Both sexes","data.15 years and over",35,29.96
"2015","data.Ontario","data.Both sexes","data.25 to 44 years",35,42.59
"2015","data.Ontario","data.Both sexes","data.25 to 54 years",35,41.99
"2015","data.Ontario","data.Both sexes","data.25 years and over",35,34.54
"2015","data.Ontario","data.Both sexes","data.45 years and over",35,28.78
"2015","data.Ontario","data.Both sexes","data.55 to 64 years",35,27.26
"2015","data.Ontario","data.Both sexes","data.55 years and over",35,21.05
"2015","data.Ontario","data.Both sexes","data.65 years and over",35,10.79
"2015","data.Ontario","data.Females","data.15 to 24 years",35,22.16
"2015","data.Ontario","data.Females","data.15 years and over",35,29.98
"2015","data.Ontario","data.Females","data.25 to 44 years",35,40.18
"2015","data.Ontario","data.Females","data.25 to 54 years",35,39.49
"2015","data.Ontario","data.Females","data.25 years and over",35,33.71
"2015","data.Ontario","data.Females","data.45 years and over",35,28.71
"2015","data.Ontario","data.Females","data.55 to 64 years",35,26
"2015","data.Ontario","data.Females","data.55 years and over",35,21.04
"2015","data.Ontario","data.Females","data.65 years and over",35,6.59
"2015","data.Ontario","data.Males","data.15 to 24 years",35,22.11
"2015","data.Ontario","data.Males","data.15 years and over",35,29.99
"2015","data.Ontario","data.Males","data.25 to 44 years",35,49.44
"2015","data.Ontario","data.Males","data.25 to 54 years",35,49.47
"2015","data.Ontario","data.Males","data.25 years and over",35,36.47
"2015","data.Ontario","data.Males","data.45 years and over",35,28.99
"2015","data.Ontario","data.Males","data.55 to 64 years",35,28.11
"2015","data.Ontario","data.Males","data.55 years and over",35,21.16
"2015","data.Ontario","data.Males","data.65 years and over",35,9.3
"2015","data.Prince Edward Island","data.Both sexes","data.15 to 24 years",11,22.22
"2015","data.Prince Edward Island","data.Both sexes","data.15 years and over",11,31.97
"2015","data.Prince Edward Island","data.Both sexes","data.25 to 44 years",11,48.15
"2015","data.Prince Edward Island","data.Both sexes","data.25 to 54 years",11,45.45
"2015","data.Prince Edward Island","data.Both sexes","data.25 years and over",11,38.96
"2015","data.Prince Edward Island","data.Both sexes","data.45 years and over",11,28
"2015","data.Prince Edward Island","data.Both sexes","data.55 to 64 years",11,20
"2015","data.Prince Edward Island","data.Both sexes","data.55 years and over",11,15.15
"2015","data.Prince Edward Island","data.Both sexes","data.65 years and over",11,0
"2015","data.Prince Edward Island","data.Females","data.15 to 24 years",11,19.23
"2015","data.Prince Edward Island","data.Females","data.15 years and over",11,33.33
"2015","data.Prince Edward Island","data.Females","data.25 to 44 years",11,36.84
"2015","data.Prince Edward Island","data.Females","data.25 to 54 years",11,45.16
"2015","data.Prince Edward Island","data.Females","data.25 years and over",11,34.62
"2015","data.Prince Edward Island","data.Females","data.45 years and over",11,27.27
"2015","data.Prince Edward Island","data.Females","data.55 to 64 years",11,20
"2015","data.Prince Edward Island","data.Females","data.55 years and over",11,19.05
"2015","data.Prince Edward Island","data.Females","data.65 years and over",11,0
"2015","data.Prince Edward Island","data.Males","data.15 to 24 years",11,10.53
"2015","data.Prince Edward Island","data.Males","data.15 years and over",11,27.27
"2015","data.Prince Edward Island","data.Males","data.25 to 44 years",11,50
"2015","data.Prince Edward Island","data.Males","data.25 to 54 years",11,50
"2015","data.Prince Edward Island","data.Males","data.25 years and over",11,28
"2015","data.Prince Edward Island","data.Males","data.45 years and over",11,17.65
"2015","data.Prince Edward Island","data.Males","data.55 to 64 years",11,0
"2015","data.Prince Edward Island","data.Males","data.55 years and over",11,0
"2015","data.Prince Edward Island","data.Males","data.65 years and over",11,0
"2015","data.Quebec","data.Both sexes","data.15 to 24 years",24,14.57
"2015","data.Quebec","data.Both sexes","data.15 years and over",24,24.44
"2015","data.Quebec","data.Both sexes","data.25 to 44 years",24,38.4
"2015","data.Quebec","data.Both sexes","data.25 to 54 years",24,37.53
"2015","data.Quebec","data.Both sexes","data.25 years and over",24,30.68
"2015","data.Quebec","data.Both sexes","data.45 years and over",24,24.68
"2015","data.Quebec","data.Both sexes","data.55 to 64 years",24,24.26
"2015","data.Quebec","data.Both sexes","data.55 years and over",24,18.35
"2015","data.Quebec","data.Both sexes","data.65 years and over",24,3.09
"2015","data.Quebec","data.Females","data.15 to 24 years",24,12.81
"2015","data.Quebec","data.Females","data.15 years and over",24,23.66
"2015","data.Quebec","data.Females","data.25 to 44 years",24,35.8
"2015","data.Quebec","data.Females","data.25 to 54 years",24,34.64
"2015","data.Quebec","data.Females","data.25 years and over",24,29.55
"2015","data.Quebec","data.Females","data.45 years and over",24,24.45
"2015","data.Quebec","data.Females","data.55 to 64 years",24,21.84
"2015","data.Quebec","data.Females","data.55 years and over",24,18.31
"2015","data.Quebec","data.Females","data.65 years and over",24,0
"2015","data.Quebec","data.Males","data.15 to 24 years",24,17.03
"2015","data.Quebec","data.Males","data.15 years and over",24,25.85
"2015","data.Quebec","data.Males","data.25 to 44 years",24,44.41
"2015","data.Quebec","data.Males","data.25 to 54 years",24,44.99
"2015","data.Quebec","data.Males","data.25 years and over",24,33.04
"2015","data.Quebec","data.Males","data.45 years and over",24,25.27
"2015","data.Quebec","data.Males","data.55 to 64 years",24,23.72
"2015","data.Quebec","data.Males","data.55 years and over",24,15.24
"2015","data.Quebec","data.Males","data.65 years and over",24,0
"2015","data.Saskatchewan","data.Both sexes","data.15 to 24 years",47,13.44
"2015","data.Saskatchewan","data.Both sexes","data.15 years and over",47,20
"2015","data.Saskatchewan","data.Both sexes","data.25 to 44 years",47,29.18
"2015","data.Saskatchewan","data.Both sexes","data.25 to 54 years",47,28.29
"2015","data.Saskatchewan","data.Both sexes","data.25 years and over",47,22.39
"2015","data.Saskatchewan","data.Both sexes","data.45 years and over",47,16.71
"2015","data.Saskatchewan","data.Both sexes","data.55 to 64 years",47,15.06
"2015","data.Saskatchewan","data.Both sexes","data.55 years and over",47,11.61
"2015","data.Saskatchewan","data.Both sexes","data.65 years and over",47,4.95
"2015","data.Saskatchewan","data.Females","data.15 to 24 years",47,12.5
"2015","data.Saskatchewan","data.Females","data.15 years and over",47,18.61
"2015","data.Saskatchewan","data.Females","data.25 to 44 years",47,22.97
"2015","data.Saskatchewan","data.Females","data.25 to 54 years",47,22.88
"2015","data.Saskatchewan","data.Females","data.25 years and over",47,19.47
"2015","data.Saskatchewan","data.Females","data.45 years and over",47,15.5
"2015","data.Saskatchewan","data.Females","data.55 to 64 years",47,10.74
"2015","data.Saskatchewan","data.Females","data.55 years and over",47,8.05
"2015","data.Saskatchewan","data.Females","data.65 years and over",47,0
"2015","data.Saskatchewan","data.Males","data.15 to 24 years",47,8.09
"2015","data.Saskatchewan","data.Males","data.15 years and over",47,21.09
"2015","data.Saskatchewan","data.Males","data.25 to 44 years",47,45.76
"2015","data.Saskatchewan","data.Males","data.25 to 54 years",47,41.67
"2015","data.Saskatchewan","data.Males","data.25 years and over",47,27.12
"2015","data.Saskatchewan","data.Males","data.45 years and over",47,18.64
"2015","data.Saskatchewan","data.Males","data.55 to 64 years",47,15.22
"2015","data.Saskatchewan","data.Males","data.55 years and over",47,11.96
"2015","data.Saskatchewan","data.Males","data.65 years and over",47,0
"2016","data.Alberta","data.Both sexes","data.15 to 24 years",48,19.58
"2016","data.Alberta","data.Both sexes","data.15 years and over",48,26.72
"2016","data.Alberta","data.Both sexes","data.25 to 44 years",48,32.71
"2016","data.Alberta","data.Both sexes","data.25 to 54 years",48,33.95
"2016","data.Alberta","data.Both sexes","data.25 years and over",48,29.82
"2016","data.Alberta","data.Both sexes","data.45 years and over",48,27.4
"2016","data.Alberta","data.Both sexes","data.55 to 64 years",48,26.01
"2016","data.Alberta","data.Both sexes","data.55 years and over",48,21.93
"2016","data.Alberta","data.Both sexes","data.65 years and over",48,8.08
"2016","data.Alberta","data.Females","data.15 to 24 years",48,18
"2016","data.Alberta","data.Females","data.15 years and over",48,23.33
"2016","data.Alberta","data.Females","data.25 to 44 years",48,27
"2016","data.Alberta","data.Females","data.25 to 54 years",48,27.72
"2016","data.Alberta","data.Females","data.25 years and over",48,25.15
"2016","data.Alberta","data.Females","data.45 years and over",48,23.38
"2016","data.Alberta","data.Females","data.55 to 64 years",48,14.29
"2016","data.Alberta","data.Females","data.55 years and over",48,12.59
"2016","data.Alberta","data.Females","data.65 years and over",48,8.98
"2016","data.Alberta","data.Males","data.15 to 24 years",48,21.61
"2016","data.Alberta","data.Males","data.15 years and over",48,33.6
"2016","data.Alberta","data.Males","data.25 to 44 years",48,48.65
"2016","data.Alberta","data.Males","data.25 to 54 years",48,55.56
"2016","data.Alberta","data.Males","data.25 years and over",48,41.8
"2016","data.Alberta","data.Males","data.45 years and over",48,33.4
"2016","data.Alberta","data.Males","data.55 to 64 years",48,32.43
"2016","data.Alberta","data.Males","data.55 years and over",48,22.68
"2016","data.Alberta","data.Males","data.65 years and over",48,0
"2016","data.British Columbia","data.Both sexes","data.15 to 24 years",59,16.98
"2016","data.British Columbia","data.Both sexes","data.15 years and over",59,21.66
"2016","data.British Columbia","data.Both sexes","data.25 to 44 years",59,26.14
"2016","data.British Columbia","data.Both sexes","data.25 to 54 years",59,27.67
"2016","data.British Columbia","data.Both sexes","data.25 years and over",59,23.65
"2016","data.British Columbia","data.Both sexes","data.45 years and over",59,21.89
"2016","data.British Columbia","data.Both sexes","data.55 to 64 years",59,22.26
"2016","data.British Columbia","data.Both sexes","data.55 years and over",59,16.53
"2016","data.British Columbia","data.Both sexes","data.65 years and over",59,4.88
"2016","data.British Columbia","data.Females","data.15 to 24 years",59,16.96
"2016","data.British Columbia","data.Females","data.15 years and over",59,19.93
"2016","data.British Columbia","data.Females","data.25 to 44 years",59,22.18
"2016","data.British Columbia","data.Females","data.25 to 54 years",59,24.02
"2016","data.British Columbia","data.Females","data.25 years and over",59,20.94
"2016","data.British Columbia","data.Females","data.45 years and over",59,19.89
"2016","data.British Columbia","data.Females","data.55 to 64 years",59,17.14
"2016","data.British Columbia","data.Females","data.55 years and over",59,13.28
"2016","data.British Columbia","data.Females","data.65 years and over",59,0
"2016","data.British Columbia","data.Males","data.15 to 24 years",59,15.4
"2016","data.British Columbia","data.Males","data.15 years and over",59,25.19
"2016","data.British Columbia","data.Males","data.25 to 44 years",59,33.85
"2016","data.British Columbia","data.Males","data.25 to 54 years",59,38.63
"2016","data.British Columbia","data.Males","data.25 years and over",59,30.25
"2016","data.British Columbia","data.Males","data.45 years and over",59,26.07
"2016","data.British Columbia","data.Males","data.55 to 64 years",59,17.89
"2016","data.British Columbia","data.Males","data.55 years and over",59,15.22
"2016","data.British Columbia","data.Males","data.65 years and over",59,0
"2016","data.Canada","data.Both sexes","data.15 to 24 years",,18.04
"2016","data.Canada","data.Both sexes","data.25 to 44 years",,34.1
"2016","data.Canada","data.Both sexes","data.25 to 54 years",,34.73
"2016","data.Canada","data.Both sexes","data.25 years and over",,28.58
"2016","data.Canada","data.Both sexes","data.45 years and over",,24.59
"2016","data.Canada","data.Both sexes","data.55 to 64 years",,24.17
"2016","data.Canada","data.Both sexes","data.55 years and over",,18.2
"2016","data.Canada","data.Both sexes","data.65 years and over",,7.86
"2016","data.Canada","data.Females","data.15 to 24 years",,17.37
"2016","data.Canada","data.Females","data.15 years and over",,23.73
"2016","data.Canada","data.Females","data.25 to 44 years",,30.06
"2016","data.Canada","data.Females","data.25 to 54 years",,30.86
"2016","data.Canada","data.Females","data.25 years and over",,26.49
"2016","data.Canada","data.Females","data.45 years and over",,23.6
"2016","data.Canada","data.Females","data.55 to 64 years",,22.13
"2016","data.Canada","data.Females","data.55 years and over",,17.48
"2016","data.Canada","data.Females","data.65 years and over",,4.92
"2016","data.Canada","data.Males","data.15 to 24 years",,18.92
"2016","data.Canada","data.Males","data.15 years and over",,27.24
"2016","data.Canada","data.Males","data.25 to 44 years",,45.65
"2016","data.Canada","data.Males","data.25 to 54 years",,45.98
"2016","data.Canada","data.Males","data.25 years and over",,33.33
"2016","data.Canada","data.Males","data.45 years and over",,26.51
"2016","data.Canada","data.Males","data.55 to 64 years",,28.4
"2016","data.Canada","data.Males","data.55 years and over",,19.28
"2016","data.Canada","data.Males","data.65 years and over",,7.87
"2016","data.Manitoba","data.Both sexes","data.15 to 24 years",46,22.4
"2016","data.Manitoba","data.Both sexes","data.15 years and over",46,23.55
"2016","data.Manitoba","data.Both sexes","data.25 to 44 years",46,31.12
"2016","data.Manitoba","data.Both sexes","data.25 to 54 years",46,30.68
"2016","data.Manitoba","data.Both sexes","data.25 years and over",46,24.18
"2016","data.Manitoba","data.Both sexes","data.45 years and over",46,18.57
"2016","data.Manitoba","data.Both sexes","data.55 to 64 years",46,10.61
"2016","data.Manitoba","data.Both sexes","data.55 years and over",46,9.93
"2016","data.Manitoba","data.Both sexes","data.65 years and over",46,0
"2016","data.Manitoba","data.Females","data.15 to 24 years",46,20.93
"2016","data.Manitoba","data.Females","data.15 years and over",46,22.18
"2016","data.Manitoba","data.Females","data.25 to 44 years",46,28.4
"2016","data.Manitoba","data.Females","data.25 to 54 years",46,27.97
"2016","data.Manitoba","data.Females","data.25 years and over",46,22.77
"2016","data.Manitoba","data.Females","data.45 years and over",46,18.09
"2016","data.Manitoba","data.Females","data.55 to 64 years",46,10
"2016","data.Manitoba","data.Females","data.55 years and over",46,7.6
"2016","data.Manitoba","data.Females","data.65 years and over",46,0
"2016","data.Manitoba","data.Males","data.15 to 24 years",46,22.29
"2016","data.Manitoba","data.Males","data.15 years and over",46,25.95
"2016","data.Manitoba","data.Males","data.25 to 44 years",46,35.56
"2016","data.Manitoba","data.Males","data.25 to 54 years",46,39.84
"2016","data.Manitoba","data.Males","data.25 years and over",46,26.53
"2016","data.Manitoba","data.Males","data.45 years and over",46,14.84
"2016","data.Manitoba","data.Males","data.55 to 64 years",46,11.86
"2016","data.Manitoba","data.Males","data.55 years and over",46,8.2
"2016","data.Manitoba","data.Males","data.65 years and over",46,0
"2016","data.New Brunswick","data.Both sexes","data.15 to 24 years",13,19.89
"2016","data.New Brunswick","data.Both sexes","data.15 years and over",13,26.32
"2016","data.New Brunswick","data.Both sexes","data.25 to 44 years",13,38.58
"2016","data.New Brunswick","data.Both sexes","data.25 to 54 years",13,37.14
"2016","data.New Brunswick","data.Both sexes","data.25 years and over",13,29.86
"2016","data.New Brunswick","data.Both sexes","data.45 years and over",13,24.79
"2016","data.New Brunswick","data.Both sexes","data.55 to 64 years",13,14.29
"2016","data.New Brunswick","data.Both sexes","data.55 years and over",13,15.48
"2016","data.New Brunswick","data.Both sexes","data.65 years and over",13,8.77
"2016","data.New Brunswick","data.Females","data.15 to 24 years",13,14.68
"2016","data.New Brunswick","data.Females","data.15 years and over",13,25.27
"2016","data.New Brunswick","data.Females","data.25 to 44 years",13,35.11
"2016","data.New Brunswick","data.Females","data.25 to 54 years",13,33.33
"2016","data.New Brunswick","data.Females","data.25 years and over",13,28.19
"2016","data.New Brunswick","data.Females","data.45 years and over",13,21.21
"2016","data.New Brunswick","data.Females","data.55 to 64 years",13,13.24
